price,address,city,bedrooms,bathrooms,sqft
"$229,900",339 Rupert St,"Thunder Bay, ON",3,2,759
"$319,000",703 Ruskin Cres,"Thunder Bay, ON",3,2,900
"$139,900",1319 East Donald St E,"Thunder Bay, ON",2,1,650
"$299,800",104 Ray Boulevard,"Thunder Bay, ON",4,2,1244
"$749,900",199 Valley St,"Thunder Bay, ON",5,4,2502
"$499,900",119 Skyline Ave,"Thunder Bay, ON",4,2,1110
"$389,000",3 270 Caribou Cres (Open House),"Thunder Bay, ON",2,2,1100
"$539,000",192 Humber Cres,"Thunder Bay, ON",5,3,1422
"$169,900",107 Third Ave NE,"Geraldton, ON",3,3,1600
"$519,900",83 Ryans Rd,"Kaministiquia, ON",3,3,1663
"$319,900",387 Morse St,"Thunder Bay, ON",3,2,886
"$245,000",4 Nugget St,"Marathon, ON",5,3,2049
"$275,000",64 Hemlo Dr,"Marathon, ON",4,2,1058
"$349,900",1508 Walsh St E,"Thunder Bay, ON",3,1,1130
"$129,000",72 Audrey St,"Beardmore, ON",3,1,1122
"$429,900",115 200 Oasis Ln,"Thunder Bay, ON",2,2,1405
"$299,900",1730 Rankin St,"Thunder Bay, ON",3,2,760
"$209,900",420 725 James Street S,"Thunder Bay, ON",2,1,924
"$199,900",315 Ambrose St,"Thunder Bay, ON",3,3,1200
"$199,900",136 Christina St E,"Thunder Bay, ON",3,1,892
"$239,900",1144 Crawford Ave,"Thunder Bay, ON",2,1,610
"$599,900",2505 Rosslyn Rd,"Thunder Bay, ON",4,4,2655
"$289,000",332 Ogden,"Thunder Bay, ON",2,1,650
"$299,900",1414 Ridgeway St E,"Thunder Bay, ON",4,2,1488
"$369,900",55 Secord St,"Thunder Bay, ON",5,3,1658
"$209,900",11 Brompton Road,"Red Rock, ON",3,2,1120
"$499,900",424 Gemstone Dr,"Thunder Bay, ON",4,2,928
"$199,900",308 1703 Victoria Ave E,"Thunder Bay, ON",1,1,667
"$529,900",77 & 79 MacIntosh Rd,"Geraldton, ON",8,3,2335
"$669,900",48 Surprise Lake Rd W,"Thunder Bay, ON",3,2,1488
"$275,000",548 Red River Rd,"Thunder Bay, ON",2,1,765
"$209,900",34 Simcoe St,"Thunder Bay, ON",2,2,840
"$249,900",159 Inglewood Cres,"Thunder Bay, ON",3,1,955
"$549,900",276 Valley St,"Thunder Bay, ON",4,3,1380
"$110,000",131 Maple Crescent,"Atikokan, ON",2,1,648
"$259,900",910 Alberta St,"Thunder Bay, ON",2,1,1000
"$269,900",544 Cumberland St N.,"Thunder Bay, ON",4,2,800
"$199,900",425 Wiley St,"Thunder Bay, ON",3,1,1165
"$235,000",4 Sund Cres,"Marathon, ON",4,2,1203
"$230,000",405 First St,"Geraldton, ON",6,2,1231
"$549,900",149 Bentwood Dr,"Thunder Bay, ON",4,2,1050
"$159,000",4 Fisher Ave,"Manitouwadge, ON",3,2,1030
"$759,900",518 Fishermans Point Rd,"Shuniah, ON",2,2,1300
"$205,000",25 Nicolet Dr,"Marathon, ON",4,2,1160
"$49,900",122 Ogden St,"Thunder Bay, ON",-,-,-
"$599,900",259 Carl Ave,"Thunder Bay, ON",5,3,1300
"$149,999",58 Matachewan Rd,"Manitouwadge, ON",3,1,1071
"$355,000",109 147 Fanshaw St,"Thunder Bay, ON",2,1,1140
$16 / ft²,202 920 Tungsten St (For Lease),"Thunder Bay, ON",-,-,1000
"$299,900",232 Egan St,"Thunder Bay, ON",3,2,1000
"$449,900",89 Hill St,"Thunder Bay, ON",2,1,1000
"$449,900",408-412 Wiley St,"Thunder Bay, ON",-,-,-
"$699,900",680 Maki Rd,"Murillo, ON",3,3,1647
"$279,900",20 Hanley Street,"Thunder Bay, ON",3,1,1096
"$849,800",467 Whitewater Place,"Rosslyn, ON",6,4,2442
$800/month,2817 B Arthur St (For Rent),"Thunder Bay, ON",-,-,500
"$329,900",83 Brompton Road,"Red Rock, ON",3,2,1250
"$259,999",125 Hemlo Dr,"Marathon, ON",3,2,1139
"$159,900",377 Hwy 582,"Hurkett, ON",3,1,950
"$575,000",1 Barker Walk,"Manitouwadge, ON",-,-,5350
"$399,900",67 Regent St,"Thunder Bay, ON",4,2,1620
"$299,900",934 Alexandra St,"Thunder Bay, ON",2,1,830
"$75,000",8 & 10 Mink Ave,"Manitouwadge, ON",4,1,980
"$275,000",34 Laverendrye Cres,"Marathon, ON",4,4,2200
"$259,000",254 McIntyre St,"Thunder Bay, ON",2,1,750
"$449,900",152 Cougar Cres,"Thunder Bay, ON",4,3,1291
"$129,900",512 Brock St East,"Thunder Bay, ON",-,-,-
"$479,900",107 Spruce Ct,"Thunder Bay, ON",7,3,-
"$749,000",3101 Arthur St W,"Oliver/Paipoonge, ON",-,-,2400
"$749,000",3101 Arthur St W,"Oliver/Paipoonge, ON",4,3,1456
"$575,000",76 Hill St (Open House),"Kakabeka Falls, ON",2,1,1173
"$255,000",295 Frederica St E,"Thunder Bay, ON",5,3,1111
"$119,900",145 Kenogami Rd,"Longlac, ON",3,1,840
"$160,000",30 Jackson Cres,"Marathon, ON",3,1,1250
"$169,900",69 Macintosh Rd,"Geraldton, ON",2,1,-
"$289,900",00 Mini Donut Shoppe,"Thunder Bay, ON",-,-,-
"$849,100",2101 2260 Sleeping Giant Pkwy,"Thunder Bay, ON",2,2,1467
$2 / ft²,"21 Huron Walk, Unit 3 (For Lease)","Manitouwadge, ON",-,-,7761
"$219,900",34 Redwing Ave,"Manitouwadge, ON",3,2,1080
"$184,900",6440 Townline Rd,"Thunder Bay, ON",-,-,-
"$239,900",2110 Foothill Dr,"Thunder Bay, ON",-,-,-
"$229,900",26 Matachewan Rd,"Manitouwadge, ON",4,2,1050
"$229,900","401 725 James St S, 725 James St S #401","Thunder Bay, ON",2,1,783
"$699,900",350 Mokomon Road,"Kakabeka Falls, ON",3,3,3412
"$384,000",308 300 Vista Ln,"Thunder Bay, ON",2,2,932
"$79,500",0 Maxwell Rd N,"Kakabeka Falls, ON",-,-,-
"$369,000",115 Court St S,"Thunder Bay, ON",-,-,-
"$79,000",0 Connolly Rd.,"Marks Township, ON",-,-,-
"$1,400,000",110 Peninsula Road,"Marathon, ON",-,-,6300
"$255,900",1 Erdmann Island,"Atikokan, ON",-,-,512
$16 / ft²,1001 William St (For Lease),"Thunder Bay, ON",-,-,2400
"$339,900",334 Francis St E,"Thunder Bay, ON",3,2,935
"$110,000",501 May St N,"Thunder Bay, ON",-,-,-
"$159,999",8 2 Hemlo Drive,"Marathon, ON",-,-,1256
$15 / ft²,101/104 325 Archibald St S (For Lease),"Thunder Bay, ON",-,-,8746
"$269,900",210 Third Ave N,"Geraldton, ON",4,3,-
"$819,900",503 Longbow Cres,"Thunder Bay, ON",5,3,1750
"$699,900",520 Tuscany Ct.,"Thunder Bay, ON",4,3,1575
"$675,000",3968 Hwy 11/17,"Thunder Bay, ON",2,1,936
"$264,900",513 145 Fanshaw St,"Thunder Bay, ON",2,1,900
"$265,000",27 Aspendale Dr W,"Marathon, ON",4,3,1000
"$189,900",104 Edith Ave,"Geraldton, ON",2,2,-
"$389,900",14 Drake Street,"Marathon, ON",3,2,2700
"$99,900",PCL 14354 Hwy 11/17,"Hurkett, ON",-,-,-
"$219,900",4 Riverview St,"Nipigon, ON",5,2,1680
"$119,900","406 Cedar Ln, Nicol Island","Rossport, ON",1,1,452
"$3,500/mo",Main Floor 238 Red River Road (For Rent),"Thunder Bay, ON",-,-,1480
"$1,199,900",144 High St,"Thunder Bay, ON",4,3,3355
"$498,000",Pt NE1/4 Hwy 527,"Shuniah, ON",-,-,-
"$199,900",524 Tuscany Ct,"Thunder Bay, ON",-,-,-
"$57,000",520 Brodie St,"Thunder Bay, ON",-,-,-
"$119,900",309 Ball Park Cres,"Geraldton, ON",2,1,-
"$1,400,000",110 Peninsula Road,"Marathon, ON",-,-,6300
"$255,900",1 Erdmann Island,"Atikokan, ON",-,-,512
$16 / ft²,1001 William St (For Lease),"Thunder Bay, ON",-,-,2400
"$339,900",334 Francis St E,"Thunder Bay, ON",3,2,935
"$110,000",501 May St N,"Thunder Bay, ON",-,-,-
"$159,999",8 2 Hemlo Drive,"Marathon, ON",-,-,1256
$15 / ft²,101/104 325 Archibald St S (For Lease),"Thunder Bay, ON",-,-,8746
"$269,900",210 Third Ave N,"Geraldton, ON",4,3,-
"$819,900",503 Longbow Cres,"Thunder Bay, ON",5,3,1750
"$699,900",520 Tuscany Ct.,"Thunder Bay, ON",4,3,1575
"$675,000",3968 Hwy 11/17,"Thunder Bay, ON",2,1,936
"$264,900",513 145 Fanshaw St,"Thunder Bay, ON",2,1,900
"$265,000",27 Aspendale Dr W,"Marathon, ON",4,3,1000
"$189,900",104 Edith Ave,"Geraldton, ON",2,2,-
"$389,900",14 Drake Street,"Marathon, ON",3,2,2700
"$99,900",PCL 14354 Hwy 11/17,"Hurkett, ON",-,-,-
"$219,900",4 Riverview St,"Nipigon, ON",5,2,1680
"$119,900","406 Cedar Ln, Nicol Island","Rossport, ON",1,1,452
"$3,500/mo",Main Floor 238 Red River Road (For Rent),"Thunder Bay, ON",-,-,1480
"$1,199,900",144 High St,"Thunder Bay, ON",4,3,3355
"$498,000",Pt NE1/4 Hwy 527,"Shuniah, ON",-,-,-
"$199,900",524 Tuscany Ct,"Thunder Bay, ON",-,-,-
"$57,000",520 Brodie St,"Thunder Bay, ON",-,-,-
"$119,900",309 Ball Park Cres,"Geraldton, ON",2,1,-
"$360,000",360 Arundel St,"Thunder Bay, ON",3,1,1200
"$89,900",PCL 9328 Basket Lake Rd,"Revell, ON",-,-,-
"$209,900",959 Hwy 11/17,"Dorion, ON",3,2,2200
"$479,900",486 St. Patrick's Sq,"Thunder Bay, ON",4,2,3100
"$145,000",29 Ross Ave,"Marathon, ON",3,1,940
"$1,600,000",700 Norah Cres,"Thunder Bay, ON",-,-,6400
"$215,000",Lot 27 Bergman Road Eva Lake,"Atikokan, ON",-,-,-
"$84,900",10 Kingfisher Pl,"Manitouwadge, ON",3,1,-
"$84,900",124 Highland Crescent,"Nakina, ON",3,1,1050
"$899,999",8 Wideman Dr,"Thunder Bay, ON",-,-,2400
"$1,395,000",114 Richmond Rd,"Thunder Bay, ON",-,-,-
"$1,395,000",114 Richmond St,"Thunder Bay, ON",5,7,4942
"$549,900",417 Parkway Dr,Thunder Bay,4,4,1800
"$950,000",513 Victoria Ave E,Thunder Bay,-,-,7500
"$225,000",58 Huron Walk,Manitouwadge,-,-,2774
$10 / ft²,513 Victoria Ave E (Lease),Thunder Bay,-,-,7000
"$439,900",2129 Arthur St E,Thunder Bay,3,2,1650
"$549,900",478 Silver Falls Rd,Kaministiquia,4,1,1685
"$125,000",74 Huron Walk,Manitouwadge,-,-,750
"$240,000",2 Stewart St,Marathon,-,-,1860
"$469,900",305 Wolseley St,Thunder Bay,2,2,1086
"$240,000",2 Stewart St,Marathon,3,3,1860
"$99,900",80 Rankin St,Red Rock,3,1,1100
"$290,000",36 Laverendrye Cres,Marathon,4,2,1850
"$279,900",Lt 17 Obonga Lake Rd,Obonga Lake,2,1,1344
"$325,000",165 Market St,Thunder Bay,2,1,940
"$19,900",53 Salls Street,Red Rock,-,-,-
"$19,900",51 Salls St,Red Rock,-,-,-
"$83,000",327 Ball Park Cres,Geraldton,3,1,935
"$545,000",327 Cumberland St N,Thunder Bay,-,-,3800
"$330,000",335 Cumberland St N,Thunder Bay,-,-,2400
"$649,900",200 Rowand St,Thunder Bay,-,-,2720
"$498,000",Mining Loc 15 Hwy 11 / 17,Shuniah,-,-,-
"$129,900",2 Howe Street,Marathon,2,1,1100
"$249,900",55 Salls St,Red Rock,-,-,2600
"$194,900",14 Pinewood Walk,Marathon,4,2,-
"$524,900",541 Luci Court,Thunder Bay,-,-,1800
"$1,250,000",338 Catherine St,Thunder Bay,7,4,4293
"$109,900",Pt Lt 10 Concession 2,Nipigon,-,-,-
"$139,900",Lot 3 Nicholetts Rd,Murillo,-,-,-
"$159,900",140A Centennial Dr,Longlac,3,1,-
"$669,900",435 Muskrat Dr,Thunder Bay,5,3,1477
"$669,000",497 Muskrat Dr,Thunder Bay,5,3,1452
"$249,900",151 Belrose Rd,Thunder Bay,-,-,-
"$1,750,000",376 Lisgar Street,Thunder Bay,-,-,4100
$22 / ft²,271 Bay St,Thunder Bay,-,-,2760
"$2,600 (Monthly)",12 Cumberland St,Thunder Bay,-,-,1200
"$375,000",450 Vickers St N,Thunder Bay,5,3,1667
"$124,999",77 Matachewan Rd,Manitouwadge,2,2,-
"$325,000",321 Cumberland St N,Thunder Bay,-,-,1600
"$550,000",782-784 Moore Ave,Thunder Bay,-,-,984
"$199,900",182 Balsam Avenue,Ignace,4,2,1120
"$179,900",51 Laurier Ave,Terrace Bay,3,1,1120
"$1,129,000",860 Red River Rd,Thunder Bay,-,-,3840
"$145,999",46 Neebig Ave,Maniotuwage,3,2,-
"$365,000",30 Aspendale Dr W,Marathon,4,3,1870
"$99,999",9 Sandpiper Ave,Manitouwadge,3,1,850
"$135,000",77 Yawkey Ave,Marathon,3,1,988
"$374,900",11 White Blvd.,Red Rock,5,4,2105
"$395,900",300 Power St,Geraldton,4,2,2186
"$299,900",152 Hudson Street,Nipigon,4,2,1060
"$314,999",3 Cedar Walk,Marathon,4,2,1046
$13 / ft²,1 665 Beaverhall Place,Thunder Bay,-,-,4552
$17 / ft²,195 Park Ave S,Thunder Bay,-,-,6000
"$609,000",700 Franklin Street,Thunder Bay,-,-,1372
"$1,799,900",1100 Memorial Ave,Thunder Bay,-,-,6800
$19 / ft²,204 1139 Alloy Dr,Thunder Bay,-,-,1156
$19 / ft²,224 1139 Alloy Dr,Thunder Bay,-,-,1743
"$169,000",11 Elizabeth Ave,Terrace Bay,3,2,1140
"$525,000",41 Simcoe Plaza,Terrace Bay,-,-,3600
"$65,000",Lot 16 Lake Helen,Nipigon,-,-,-
"$277,900",0 Hwy 130,Thunder Bay,-,-,-
$12 / ft²,103 920 Tungsten St,Thunder Bay,-,-,1100
"$499,900",122 Forestry Rd,Longlac,-,-,4500
"$499,000",2212 Sleeping Giant Parkway,Thunder Bay,-,-,6062
"$129,999",73 Warbler Dr,Manitouwadge,3,2,1050
"$575,000",309 Cedar Ln,Rossport,3,3,1295
"$299,000",135 Algoma St,Thunder Bay,-,-,670
"$2,000 (Monthly)",201 278 Bay St,Thunder Bay,-,-,1200
"$314,900",315 145 Fanshaw St,Thunder Bay,2,1,1145
"$269,000",129 John St,Geraldton,3,2,950
"$2,800 (Monthly)",Upstairs 238 Red River Rd,Thunder Bay,-,-,1480
"$69,900",12 Front Street,Nipigon,1,1,355
"$295,000",7 Lakeview Dr,Terrace Bay,5,3,2655
